Query	Taxid	Tax name	Authority	Rank	Basionym	Basionym authority	Curator common name	Has type material	Group name	Domain/Realm name	Domain/Realm taxid	Kingdom name	Kingdom taxid	Phylum name	Phylum taxid	Class name	Class taxid	Order name	Order taxid	Family name	Family taxid	Genus name	Genus taxid	Species name	Species taxid	Scientific name is formal
1638924	1638924	Olpidiopsis feldmanni	(Aleem, 1952)	SPECIES				no	oomycetes	Eukaryota	2759			Oomycota	4762			Olpidiopsidales	416805	Olpidiopsidaceae	416806	Olpidiopsis	416807	Olpidiopsis feldmanni	1638924	TRUE
1638928	1638928	Aurantiochytrium sp. YLH70		SPECIES				no	slime nets	Eukaryota	2759					Bigyra	2683628	Thraustochytrida	2699528	Thraustochytriidae	33674	Aurantiochytrium	420535	Aurantiochytrium sp. YLH70	1638928	FALSE
1639192	1639192	Sargassum cinereum	J.Agardh, 1848	SPECIES				no	brown algae	Eukaryota	2759					Phaeophyceae	2870	Fucales	3009	Sargassaceae	3014	Sargassum	3015	Sargassum cinereum	1639192	TRUE
1639335	1639335	Paralia marina	(W.Smith) Heiberg, 1863	SPECIES	Orthoseira marina	W.Smith, 1856		no	diatoms	Eukaryota	2759			Bacillariophyta	2836	Coscinodiscophyceae	33836	Paraliales	216905	Paraliaceae	1529371	Paralia	216907	Paralia marina	1639335	TRUE
1639336	1639336	Paralia guyana	MacGillivary, 2015	SPECIES				no	diatoms	Eukaryota	2759			Bacillariophyta	2836	Coscinodiscophyceae	33836	Paraliales	216905	Paraliaceae	1529371	Paralia	216907	Paralia guyana	1639336	TRUE
1639645	1639645	Gonyostomum latum	Iwanoff, 1900	SPECIES				no	heterokonts	Eukaryota	2759					Raphidophyceae	38410	Chattonellales	658125	Vacuolariaceae	658123	Gonyostomum	375453	Gonyostomum latum	1639645	TRUE
1640680	1640680	Paralia fenestrata	Sawai & Nagumo, 2005	SPECIES				no	diatoms	Eukaryota	2759			Bacillariophyta	2836	Coscinodiscophyceae	33836	Paraliales	216905	Paraliaceae	1529371	Paralia	216907	Paralia fenestrata	1640680	TRUE
1642026	1642026	Unruhdinium jiulongense diatom endosymbiont		SPECIES				no	diatoms	Eukaryota	2759			Bacillariophyta	2836									Unruhdinium jiulongense diatom endosymbiont	1642026	FALSE
1642459	1642459	Phytophthora agathidicida	B.S. Weir, Beever, Pennycook & Bellgard 2015	SPECIES				yes	downy mildews	Eukaryota	2759			Oomycota	4762	Peronosporomycetes	3418804	Peronosporales	4776	Peronosporaceae	4777	Phytophthora	4783	Phytophthora agathidicida	1642459	TRUE
1642464	1642464	Phytophthora cocois	B.S. Weir, Beever, Pennycook, Bellgard & J.Y. Uchida, 2015	SPECIES				yes	downy mildews	Eukaryota	2759			Oomycota	4762	Peronosporomycetes	3418804	Peronosporales	4776	Peronosporaceae	4777	Phytophthora	4783	Phytophthora cocois	1642464	TRUE
1642465	1642465	Phytophthora castaneae	Katsura & K. Uchida, 1976	SPECIES				yes	downy mildews	Eukaryota	2759			Oomycota	4762	Peronosporomycetes	3418804	Peronosporales	4776	Peronosporaceae	4777	Phytophthora	4783	Phytophthora castaneae	1642465	TRUE
1642528	1642528	Oomycetes sp. KF-2015		SPECIES				no	oomycetes	Eukaryota	2759			Oomycota	4762									Oomycetes sp. KF-2015	1642528	FALSE
1642885	1642885	Amphora sp. AT-PSD-53		SPECIES				no	diatoms	Eukaryota	2759			Bacillariophyta	2836	Bacillariophyceae	33849	Thalassiophysales	216758	Catenulaceae	59795	Amphora	59796	Amphora sp. AT-PSD-53	1642885	FALSE
1642886	1642886	Odontella sp. AT-JP-45		SPECIES				no	diatoms	Eukaryota	2759			Bacillariophyta	2836	Mediophyceae	589449	Eupodiscales	33838	Odontellaceae	2749909	Odontella	2838	Odontella sp. AT-JP-45	1642886	FALSE
1643631	1643631	Amphora aliformis	J.G.Stepanek, S. Mayama & J.P.Kociolek 2015	SPECIES				no	diatoms	Eukaryota	2759			Bacillariophyta	2836	Bacillariophyceae	33849	Thalassiophysales	216758	Catenulaceae	59795	Amphora	59796	Amphora aliformis	1643631	TRUE
1648470	1648470	Cocconeis cf. stauroneisformis AmCo01a		SPECIES				no	diatoms	Eukaryota	2759			Bacillariophyta	2836	Bacillariophyceae	33849	Cocconeidales	1880621	Cocconeidaceae	216714	Cocconeis	216715	Cocconeis cf. stauroneisformis AmCo01a	1648470	FALSE
1648476	1648476	Melosira moniliformis	C.Agardh, 1824	SPECIES				no	diatoms	Eukaryota	2759			Bacillariophyta	2836	Coscinodiscophyceae	33836	Melosirales	33841	Melosiraceae	35123	Melosira	35124	Melosira moniliformis	1648476	TRUE
1649140	1649140	Amphora sp. FGM-2015		SPECIES				no	diatoms	Eukaryota	2759			Bacillariophyta	2836	Bacillariophyceae	33849	Thalassiophysales	216758	Catenulaceae	59795	Amphora	59796	Amphora sp. FGM-2015	1649140	FALSE
